   1211.409000 #32398    cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1211.409000 #32399    cpu1 MAC.MHF  addr=0x0004 val=0x0080 mask=0x0080
   1211.409000 #32400    cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1211.409000 #32401    cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1211.409000 #32402    cpu1 MAC.MHF  addr=0x0000 val=0x0100 mask=0x0100
   1211.409000 #32403    cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1211.410000 #32404    cpu0 PMU.RC   addr=0x0000 val=0x00000000 mask=0x00000002
   1211.410000 #32405    cpu0 MAC.MCTRL val=0x04000404 mask=0xffffffff
   1211.410000 #32406    cpu0 MAC.MHF  addr=0x0000 val=0x0000 mask=0x0010
   1211.411000 #32407    cpu0 MAC.MHF  addr=0x0001 val=0x0000 mask=0x0100
   1211.411000 #32408    cpu0 MAC.MHF  addr=0x0002 val=0x0000 mask=0x2000
   1211.411000 #32409    cpu0 MAC.MHF  addr=0x0001 val=0x0000 mask=0x0200
   1211.411000 #32410    cpu0 MAC.MHF  addr=0x0002 val=0x0000 mask=0x1504
   1211.412000 #32411    cpu0 MAC.MHF  addr=0x0002 val=0x0000 mask=0x1000
   1211.412000 #32412    cpu0 MAC.MHF  addr=0x0004 val=0x0000 mask=0x0006
   1211.412000 #32413    cpu0 MAC.MCTRL val=0x04020402 mask=0xffffffff
   1211.413000 #32414    cpu0 MAC.MCTRL val=0x00000000 mask=0x0000c000
   1211.413000 #32415    cpu0 GPIO.CTL val=0x00000000 mask=0x00000000
   1211.427000 #32416    cpu0 MAC.MCTRL val=0x40020000 mask=0x40060000
   1211.434000 #32417    cpu0 PMU.PLL  addr=0x0002 val=0x00000000 mask=0x00000000
   1211.434000 #32418    cpu0 PMU.PLL  addr=0x0003 val=0x00000000 mask=0x00000000
   1211.434000 #32419    cpu0 PHY.RD   addr=0x0728 val=UNDEFINED
   1211.434000 #32420    cpu0 PHY.RD   addr=0x0408 val=UNDEFINED
   1211.434000 #32421    cpu0 PHY.WR   addr=0x0415 val=0x0000
   1211.434000 #32422    cpu0 PHY.WR   addr=0x040e val=0x0000
   1211.434000 #32423    cpu0 PHY.WR   addr=0x040c val=0x2000
   1211.434000 #32424    cpu0 PHY.WR   addr=0x0408 val=0x0c00
   1211.434000 #32425    cpu0 PHY.WR   addr=0x0417 val=0x0000
   1211.435000 #32426    cpu0 PHY.WR   addr=0x0416 val=0x000d
   1211.435000 #32427    cpu0 PHY.WR   addr=0x0728 val=0x0000
   1211.435000 #32428    cpu0 PHY.RD   addr=0x0720 val=UNDEFINED
   1211.435000 #32429    cpu0 PHY.WR   addr=0x0720 val=0x03ff
   1211.435000 #32430    cpu0 PHY.WR   addr=0x0408 val=0x0c00
   1211.435000 #32431    cpu0 PHY.WR   addr=0x0408 val=0x0c01
   1211.435000 #32432    cpu0 PHY.WR   addr=0x0408 val=0x0c00
   1211.435000 #32433    cpu0 RAD.WR   addr=0x063a val=0x0000
   1211.435000 #32434    cpu0 RAD.WR   addr=0x063d val=0x000f
   1211.435000 #32435    cpu0 RAD.WR   addr=0x0645 val=0x3000
   1211.435000 #32436    cpu0 RAD.WR   addr=0x0646 val=0x0303
   1211.435000 #32437    cpu0 RAD.WR   addr=0x0647 val=0x36e2
   1211.435000 #32438    cpu0 RAD.WR   addr=0x0649 val=0x6000
   1211.435000 #32439    cpu0 RAD.WR   addr=0x064a val=0x0003
   1211.435000 #32440    cpu0 RAD.WR   addr=0x065e val=0x0ff4
   1211.435000 #32441    cpu0 RAD.WR   addr=0x0666 val=0x0b2d
   1211.435000 #32442    cpu0 RAD.WR   addr=0x0667 val=0x03ff
   1211.435000 #32443    cpu0 RAD.WR   addr=0x0115 val=0x3337
   1211.435000 #32444    cpu0 RAD.WR   addr=0x0117 val=0x1337
   1211.435000 #32445    cpu0 RAD.WR   addr=0x0718 val=0x7777
   1211.435000 #32446    cpu0 RAD.WR   addr=0x071c val=0x1000
   1211.435000 #32447    cpu0 RAD.WR   addr=0x0726 val=0x0100
   1211.435000 #32448    cpu0 RAD.WR   addr=0x0727 val=0x0002
